stock_name,doubling_date,price_at_detection,price_after_lookahead,multiplier,years_of_data,days_to_target
SMB,2020-12-09,522.31,818.24,1.567,5.0,30
SMB,2024-09-29,1536.37,2394.2,1.558,5.0,30
SMFBS,2020-12-06,549.9,882.83,1.605,5.0,30
SMFBS,2024-10-20,1464.76,2265.71,1.547,5.0,30
SMHL,2024-04-30,418.86,628.57,1.501,2.3,30
SMHL,2024-09-23,555.24,855.0,1.54,2.3,30
SMHL,2024-11-24,918.0,1540.0,1.678,2.3,30
SMJC,2023-11-05,222.43,336.04,1.511,2.2,30
SMJC,2024-06-25,383.58,583.77,1.522,2.2,30
SPC,2022-06-28,380.0,615.7,1.62,3.6,30
SPC,2023-11-22,340.0,526.5,1.549,3.6,30
SPDL,2021-04-13,199.39,305.45,1.532,5.0,30
SPDL,2021-06-21,274.55,460.0,1.675,5.0,30
SPDL,2023-11-21,163.0,245.0,1.503,5.0,30
SPDL,2024-06-30,235.0,358.0,1.523,5.0,30
SPHL,2023-08-20,335.0,513.0,1.531,2.7,30
SPIL,2020-12-21,584.08,891.08,1.526,5.0,30
SPIL,2022-12-14,452.29,680.0,1.503,5.0,30
SPL,2023-08-06,699.8,1050.0,1.5,2.3,30
SSHL,2021-04-26,215.0,331.0,1.54,4.6,30
SSHL,2021-06-29,310.0,490.0,1.581,4.6,30
SSHL,2022-12-05,177.1,278.0,1.57,4.6,30
SSHL,2024-07-03,170.0,275.6,1.621,4.6,30
STC,2020-09-28,1698.4,3155.83,1.858,5.0,30
STC,2020-12-06,3169.24,4850.88,1.531,5.0,30
STC,2021-02-09,5108.39,7926.1,1.552,5.0,30
STC,2022-06-28,2426.88,3667.19,1.511,5.0,30
TAMOR,2023-11-23,251.9,382.0,1.516,2.2,30
TPC,2023-11-27,218.05,351.95,1.614,3.6,30
TRH,2023-05-09,489.42,761.54,1.556,5.0,30
TRH,2024-06-20,765.9,1180.0,1.541,5.0,30
UAIL,2020-12-21,390.41,598.58,1.533,5.0,30
UHEWA,2024-09-29,435.0,675.0,1.552,2.9,30
ULBSL,2024-03-27,1205.0,1836.7,1.524,3.1,30
ULBSL,2024-06-18,1964.4,3000.0,1.527,3.1,30
